SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
ERFLNCDI,Edelweiss Retail Finance Limited,N6,1000,1000,1,9.25,26-MAR-2018,22-MAR-2018,22-MAR-2028,,,,,INE528S07128
HUDCO,Housing & Urban Development Corporation Limited,N2,1000,1000,1,8.2,20-MAR-2012,07-MAR-2012,05-MAR-2027,,,,,INE031A07840
HUDCO,Housing & Urban Development Corporation Limited,N3,1000,1000,1,8.1,20-MAR-2012,07-MAR-2012,05-MAR-2022,,,,,INE031A07832
HUDCO,Housing & Urban Development Corporation Limited,N4,1000,1000,1,7.34,21-FEB-2013,16-FEB-2013,16-FEB-2023,,,,,INE031A07857
HUDCO,Housing & Urban Development Corporation Limited,N5,1000,1000,1,7.51,21-FEB-2013,16-FEB-2013,16-FEB-2028,,,,,INE031A07865
HUDCO,Housing & Urban Development Corporation Limited,N6,1000,1000,1,7.03,03-APR-2013,28-MAR-2013,28-MAR-2023,,,,,INE031A07873
HUDCO,Housing & Urban Development Corporation Limited,N7,1000,1000,1,7.19,03-APR-2013,28-MAR-2013,28-MAR-2028,,,,,INE031A07881
HUDCO,Housing & Urban Development Corporation Limited,N8,1000,1000,1,7.64,22-MAR-2017,08-FEB-2016,08-FEB-2031,,,,,INE031A07AO5
HUDCO,Housing & Urban Development Corporation Limited,N9,1000,1000,1,7.69,22-MAR-2017,15-MAR-2016,15-MAR-2031,,,,,INE031A07AT4
HUDCO,Housing & Urban Development Corporation Limited,NA,1000,1000,1,8.14,22-MAR-2017,25-OCT-2013,25-OCT-2023,,,,,INE031A07907
HUDCO,Housing & Urban Development Corporation Limited,NB,1000,1000,1,8.51,22-MAR-2017,25-OCT-2013,25-OCT-2028,,,,,INE031A07915
HUDCO,Housing & Urban Development Corporation Limited,NC,1000,1000,1,8.58,22-MAR-2017,13-JAN-2014,13-JAN-2029,,,,,INE031A07972
HUDCO,Housing & Urban Development Corporation Limited,ND,1000,1000,1,8.76,22-MAR-2017,25-OCT-2013,25-OCT-2028,,,,,INE031A07949
HUDCO,Housing & Urban Development Corporation Limited,NE,1000,1000,1,9.01,22-MAR-2017,13-JAN-2014,13-JAN-2034,,,,,INE031A07AB2
IBUCCREDIT,Indiabulls Commercial Credit Limited,N1,1000,1000,1,0,27-SEP-2018,25-SEP-2018,25-SEP-2020,,,,,INE244L07051
IBUCCREDIT,Indiabulls Commercial Credit Limited,N2,1000,1000,1,0,27-SEP-2018,25-SEP-2018,25-SEP-2020,,,,,INE244L07069
IBUCCREDIT,Indiabulls Commercial Credit Limited,N3,1000,1000,1,0,27-SEP-2018,25-SEP-2018,25-SEP-2021,,,,,INE244L07077
IBUCCREDIT,Indiabulls Commercial Credit Limited,N4,1000,1000,1,0,27-SEP-2018,25-SEP-2018,25-SEP-2021,,,,,INE244L07085
IBUCCREDIT,Indiabulls Commercial Credit Limited,N5,1000,1000,1,8.8,27-SEP-2018,25-SEP-2018,25-SEP-2021,,,,,INE244L07093
IBUCCREDIT,Indiabulls Commercial Credit Limited,N6,1000,1000,1,8.9,27-SEP-2018,25-SEP-2018,25-SEP-2021,,,,,INE244L07101
IBUCCREDIT,Indiabulls Commercial Credit Limited,N7,1000,1000,1,8.66,27-SEP-2018,25-SEP-2018,25-SEP-2023,,,,,INE244L07127
IBUCCREDIT,Indiabulls Commercial Credit Limited,N8,1000,1000,1,8.9,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07135
IBUCCREDIT,Indiabulls Commercial Credit Limited,N9,1000,1000,1,9,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07143
IBUCCREDIT,Indiabulls Commercial Credit Limited,NA,1000,1000,1,8.75,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07150
IBUCCREDIT,Indiabulls Commercial Credit Limited,NB,1000,1000,1,8.84,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07168
IBUCCREDIT,Indiabulls Commercial Credit Limited,NC,1000,1000,1,9.1,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07176
IBUCCREDIT,Indiabulls Commercial Credit Limited,ND,1000,1000,1,9.2,27-SEP-2018,25-SEP-2018,25-SEP-2028,,,,,INE244L07184
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2017,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2018,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2019,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2020,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N5,1000,1000,1,8.75,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2021,INE148I07GE8
IBULHSGFIN,Indiabulls Housing Finance Limited,N6,1000,1000,1,8.9,28-SEP-2016,26-SEP-2016,26-SEP-2021,,,,26-SEP-2017,INE148I07GF5
