SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
PGIMBBDPD,PGIM India Fixed Duration Fund - Series BB - RPSDPO,MF,23-JUL-2018,1000,1,INF663L01K83,1000
PGIMBBGPG,PGIM India Fixed Duration Fund - Series BB - RPG,MF,23-JUL-2018,1000,1,INF663L01K75,1000
PGIMBBQDD,PGIM India Fixed Duration Fund - Series BB - RPQDPO,MF,23-JUL-2018,1000,1,INF663L01L17,1000
PGIMBCD1G,PGIM India Fixed Duration Fund - Series BC - DPG,MF,14-AUG-2018,1000,1,INF663L01L25,1000
PGIMBCD2S,PGIM India Fixed Duration Fund - Series BC - DPSDT,MF,14-AUG-2018,1000,1,INF663L01L41,1000
PGIMBCDPD,PGIM India Fixed Duration Fund - Series BC - RPSDPO,MF,14-AUG-2018,1000,1,INF663L01L82,1000
PGIMBCGPG,PGIM India Fixed Duration Fund - Series BC - RPG,MF,14-AUG-2018,1000,1,INF663L01L74,1000
PGIMBCQDD,PGIM India Fixed Duration Fund - Series BC - RPQDPO,MF,14-AUG-2018,1000,1,INF663L01M16,1000
PGIMBED1G,PGIM India Fixed Duration Fund - Series BE - DPG,MF,05-SEP-2018,1000,1,INF663L01M24,1000
PGIMBEDPD,PGIM India Fixed Duration Fund - Series BE - RPSDPO,MF,05-SEP-2018,1000,1,INF663L01M81,1000
PGIMBEGPG,PGIM India Fixed Duration Fund - Series BE - RPG,MF,05-SEP-2018,1000,1,INF663L01M73,1000
PGIMBEQDD,PGIM India Fixed Duration Fund - Series BE - RPQDPO,MF,05-SEP-2018,1000,1,INF663L01N15,1000
PGIMC6D1G,PGIM India Large Cap Fund Series 2 - DPG,MF,15-APR-2015,10,1,INF223JA1BJ5,10
PGIMC6D2D,PGIM India Large Cap Fund Series 2 - DPDPO,MF,15-APR-2015,10,1,INF223JA1BI7,10
PGIMC6DPD,PGIM India Large Cap Fund Series 2 - RPDPO,MF,15-APR-2015,10,1,INF223JA1BG1,10
PGIMC6GPG,PGIM India Large Cap Fund Series 2 - RPG,MF,15-APR-2015,10,1,INF223JA1BH9,10
